Beginning 75 Round Collision Test
Trial #01:	23th hash
Trial #02:	15th hash
Trial #03:	7th hash
Trial #04:	7th hash
Trial #05:	12th hash
Trial #06:	9th hash
Trial #07:	2th hash
Trial #08:	19th hash
Trial #09:	6th hash
Trial #10:	8th hash
Trial #11:	7th hash
Trial #12:	5th hash
Trial #13:	6th hash
Trial #14:	16th hash
Trial #15:	12th hash
Trial #16:	7th hash
Trial #17:	10th hash
Trial #18:	18th hash
Trial #19:	7th hash
Trial #20:	4th hash
Trial #21:	19th hash
Trial #22:	10th hash
Trial #23:	13th hash
Trial #24:	10th hash
Trial #25:	25th hash
Trial #26:	8th hash
Trial #27:	5th hash
Trial #28:	16th hash
Trial #29:	20th hash
Trial #30:	6th hash
Trial #31:	10th hash
Trial #32:	6th hash
Trial #33:	7th hash
Trial #34:	6th hash
Trial #35:	10th hash
Trial #36:	7th hash
Trial #37:	10th hash
Trial #38:	13th hash
Trial #39:	7th hash
Trial #40:	3th hash
Trial #41:	12th hash
Trial #42:	14th hash
Trial #43:	14th hash
Trial #44:	7th hash
Trial #45:	12th hash
Trial #46:	2th hash
Trial #47:	8th hash
Trial #48:	7th hash
Trial #49:	14th hash
Trial #50:	6th hash
Trial #51:	18th hash
Trial #52:	8th hash
Trial #53:	7th hash
Trial #54:	14th hash
Trial #55:	15th hash
Trial #56:	8th hash
Trial #57:	8th hash
Trial #58:	6th hash
Trial #59:	19th hash
Trial #60:	13th hash
Trial #61:	12th hash
Trial #62:	12th hash
Trial #63:	9th hash
Trial #64:	8th hash
Trial #65:	6th hash
Trial #66:	6th hash
Trial #67:	10th hash
Trial #68:	6th hash
Trial #69:	9th hash
Trial #70:	7th hash
Trial #71:	15th hash
Trial #72:	28th hash
Trial #73:	9th hash
Trial #74:	12th hash
Trial #75:	12th hash

Expected avg number of hashes: 8
Actual avg number of hashes: 10.45
