Beginning 75 Round PreImage Test
Trial #01:	41744th hash
Trial #02:	144552th hash
Trial #03:	69922th hash
Trial #04:	43871th hash
Trial #05:	16786th hash
Trial #06:	6228th hash
Trial #07:	38204th hash
Trial #08:	14182th hash
Trial #09:	170952th hash
Trial #10:	27589th hash
Trial #11:	110528th hash
Trial #12:	32862th hash
Trial #13:	51405th hash
Trial #14:	56717th hash
Trial #15:	150250th hash
Trial #16:	83297th hash
Trial #17:	57717th hash
Trial #18:	10067th hash
Trial #19:	86956th hash
Trial #20:	58378th hash
Trial #21:	54908th hash
Trial #22:	127090th hash
Trial #23:	48455th hash
Trial #24:	77164th hash
Trial #25:	115190th hash
Trial #26:	32257th hash
Trial #27:	11120th hash
Trial #28:	1610th hash
Trial #29:	177743th hash
Trial #30:	27841th hash
Trial #31:	32203th hash
Trial #32:	88421th hash
Trial #33:	24894th hash
Trial #34:	89920th hash
Trial #35:	36747th hash
Trial #36:	49198th hash
Trial #37:	33785th hash
Trial #38:	81196th hash
Trial #39:	82501th hash
Trial #40:	24606th hash
Trial #41:	3408th hash
Trial #42:	85000th hash
Trial #43:	7084th hash
Trial #44:	6723th hash
Trial #45:	203548th hash
Trial #46:	52072th hash
Trial #47:	20806th hash
Trial #48:	132965th hash
Trial #49:	50855th hash
Trial #50:	54849th hash
Trial #51:	9808th hash
Trial #52:	113754th hash
Trial #53:	23949th hash
Trial #54:	5134th hash
Trial #55:	103170th hash
Trial #56:	44278th hash
Trial #57:	1606th hash
Trial #58:	8064th hash
Trial #59:	77700th hash
Trial #60:	41608th hash
Trial #61:	107290th hash
Trial #62:	75827th hash
Trial #63:	45573th hash
Trial #64:	18290th hash
Trial #65:	119590th hash
Trial #66:	37241th hash
Trial #67:	52002th hash
Trial #68:	70097th hash
Trial #69:	11724th hash
Trial #70:	383027th hash
Trial #71:	176050th hash
Trial #72:	106305th hash
Trial #73:	225107th hash
Trial #74:	46088th hash
Trial #75:	8752th hash

Expected avg number of hashes: 65536
Actual avg number of hashes: 66912.00
