Beginning 75 Round PreImage Test
Trial #01:	160th hash
Trial #02:	30th hash
Trial #03:	404th hash
Trial #04:	157th hash
Trial #05:	462th hash
Trial #06:	4055th hash
Trial #07:	1044th hash
Trial #08:	577th hash
Trial #09:	3025th hash
Trial #10:	189th hash
Trial #11:	17th hash
Trial #12:	592th hash
Trial #13:	98th hash
Trial #14:	249th hash
Trial #15:	406th hash
Trial #16:	355th hash
Trial #17:	68th hash
Trial #18:	1155th hash
Trial #19:	3904th hash
Trial #20:	3298th hash
Trial #21:	796th hash
Trial #22:	480th hash
Trial #23:	1225th hash
Trial #24:	622th hash
Trial #25:	509th hash
Trial #26:	456th hash
Trial #27:	213th hash
Trial #28:	190th hash
Trial #29:	978th hash
Trial #30:	2666th hash
Trial #31:	1568th hash
Trial #32:	455th hash
Trial #33:	283th hash
Trial #34:	1985th hash
Trial #35:	24th hash
Trial #36:	2509th hash
Trial #37:	522th hash
Trial #38:	104th hash
Trial #39:	1989th hash
Trial #40:	1626th hash
Trial #41:	599th hash
Trial #42:	579th hash
Trial #43:	196th hash
Trial #44:	3179th hash
Trial #45:	1308th hash
Trial #46:	5587th hash
Trial #47:	974th hash
Trial #48:	1346th hash
Trial #49:	655th hash
Trial #50:	1809th hash
Trial #51:	847th hash
Trial #52:	378th hash
Trial #53:	251th hash
Trial #54:	1749th hash
Trial #55:	287th hash
Trial #56:	1358th hash
Trial #57:	2096th hash
Trial #58:	77th hash
Trial #59:	754th hash
Trial #60:	28th hash
Trial #61:	599th hash
Trial #62:	507th hash
Trial #63:	755th hash
Trial #64:	832th hash
Trial #65:	2038th hash
Trial #66:	568th hash
Trial #67:	823th hash
Trial #68:	1089th hash
Trial #69:	736th hash
Trial #70:	486th hash
Trial #71:	274th hash
Trial #72:	1525th hash
Trial #73:	217th hash
Trial #74:	2981th hash
Trial #75:	2372th hash

Expected avg number of hashes: 1024
Actual avg number of hashes: 1057.39
