Beginning 75 Round Collision Test
Trial #01:	12th hash
Trial #02:	71th hash
Trial #03:	96th hash
Trial #04:	64th hash
Trial #05:	99th hash
Trial #06:	22th hash
Trial #07:	15th hash
Trial #08:	72th hash
Trial #09:	115th hash
Trial #10:	62th hash
Trial #11:	48th hash
Trial #12:	87th hash
Trial #13:	58th hash
Trial #14:	95th hash
Trial #15:	226th hash
Trial #16:	100th hash
Trial #17:	78th hash
Trial #18:	100th hash
Trial #19:	72th hash
Trial #20:	49th hash
Trial #21:	30th hash
Trial #22:	40th hash
Trial #23:	168th hash
Trial #24:	127th hash
Trial #25:	10th hash
Trial #26:	43th hash
Trial #27:	26th hash
Trial #28:	28th hash
Trial #29:	99th hash
Trial #30:	72th hash
Trial #31:	117th hash
Trial #32:	34th hash
Trial #33:	65th hash
Trial #34:	156th hash
Trial #35:	77th hash
Trial #36:	65th hash
Trial #37:	6th hash
Trial #38:	60th hash
Trial #39:	68th hash
Trial #40:	54th hash
Trial #41:	58th hash
Trial #42:	14th hash
Trial #43:	90th hash
Trial #44:	81th hash
Trial #45:	97th hash
Trial #46:	177th hash
Trial #47:	91th hash
Trial #48:	146th hash
Trial #49:	49th hash
Trial #50:	94th hash
Trial #51:	64th hash
Trial #52:	113th hash
Trial #53:	73th hash
Trial #54:	44th hash
Trial #55:	67th hash
Trial #56:	24th hash
Trial #57:	57th hash
Trial #58:	121th hash
Trial #59:	44th hash
Trial #60:	40th hash
Trial #61:	82th hash
Trial #62:	26th hash
Trial #63:	70th hash
Trial #64:	88th hash
Trial #65:	55th hash
Trial #66:	70th hash
Trial #67:	120th hash
Trial #68:	30th hash
Trial #69:	100th hash
Trial #70:	49th hash
Trial #71:	19th hash
Trial #72:	57th hash
Trial #73:	185th hash
Trial #74:	172th hash
Trial #75:	81th hash

Expected avg number of hashes: 64
Actual avg number of hashes: 75.12
